Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
TEE8O1T5ZY,2025-05-14 11:15:00.000,,Completed,,-240.0,0.0
TEE8O1T5ZY,2025-05-14 11:15:00.000,,Completed,240.0,,240.0
TEE7O1POUD,2025-05-14 11:15:00.000,,Completed,,-120.0,0.0
TEE7O1PRPF,2025-05-14 11:15:00.000,,Completed,120.0,,120.0
TEE7O0N5RD,2025-05-14 11:06:59.962,,Completed,150.0,,150.0
TEE6O0NAAO,2025-05-14 11:06:59.962,,Completed,,-150.0,0.0
TEE4NJUMDC,2025-05-14 09:04:00.019,Purchase with Fuliza,Completed,,-31.0,0.0
TEE4NJUMDC,2025-05-14 09:04:00.019,,Completed,31.0,,31.0
TEE3N1COPD,2025-05-14 05:51:00.000,Purchase with Fuliza,Completed,,-35.0,0.0
TEE3N1COPD,2025-05-14 05:51:00.000,,Completed,35.0,,35.0
TED3MFGK0Z,2025-05-13 20:51:00.000,,Completed,,-100.0,0.0
TED3MFGK0Z,2025-05-13 20:51:00.000,,Completed,100.0,,100.0
TED0MFCDI0,2025-05-13 20:51:00.000,,Completed,,-100.0,0.0
TED6MFCF16,2025-05-13 20:51:00.000,,Completed,100.0,,100.0
TED4MEYLI0,2025-05-13 20:48:59.990,,Completed,,-90.0,0.0
TED4MEYLI0,2025-05-13 20:48:59.990,,Completed,90.0,,90.0
TED6MEQOUK,2025-05-13 20:46:59.981,,Completed,,-150.0,0.0
TED5MEQQZ7,2025-05-13 20:46:59.981,,Completed,150.0,,150.0
TED6MEIMQE,2025-05-13 20:46:00.019,,Completed,,-50.0,0.0
TED6MEIMQE,2025-05-13 20:46:00.019,,Completed,50.0,,50.0
TED2ME5AEW,2025-05-13 20:44:00.010,,Completed,,-100.0,0.0
TED2ME5AEW,2025-05-13 20:44:00.010,,Completed,100.0,,100.0
TED4MDXILC,2025-05-13 20:42:59.962,,Completed,150.0,,150.0
TED8MDXFT6,2025-05-13 20:42:59.962,,Completed,,-150.0,0.0
TED2LZCMFM,2025-05-13 19:34:00.019,,Completed,,-32.0,0.0
TED2LZCMFM,2025-05-13 19:34:00.019,,Completed,32.0,,32.0
TED1L78F2X,2025-05-13 17:35:00.010,,Completed,,-20.0,0.0
TED1L78F2X,2025-05-13 17:35:00.010,,Completed,20.0,,20.0
TED3K5TY6T,2025-05-13 13:39:59.962,,Completed,,-45.0,0.0
TED3K5TY6T,2025-05-13 13:39:59.962,,Completed,45.0,,45.0
TED9JW63SV,2025-05-13 12:36:59.962,,Completed,,-38.0,0.0
TED9JW63SV,2025-05-13 12:36:59.962,,Completed,38.0,,38.0
TED6JM0Q40,2025-05-13 11:26:59.971,,Completed,,-36.0,0.0
TED6JM0Q40,2025-05-13 11:26:59.971,,Completed,36.0,,36.0
TED8IZ4TKC,2025-05-13 08:44:00.010,,Completed,,-32.0,0.0
TED8IZ4TKC,2025-05-13 08:44:00.010,,Completed,32.0,,32.0
TEC6I4R22I,2025-05-12 21:38:00.010,,Completed,,-32.0,0.0
TEC6I4R22I,2025-05-12 21:38:00.010,,Completed,32.0,,32.0
TEC6GWM23G,2025-05-12 18:13:00.019,,Completed,,-35.0,0.0
TEC6GWM23G,2025-05-12 18:13:00.019,,Completed,35.0,,35.0
TEC6GJB7UI,2025-05-12 17:08:00.010,,Completed,,-900.0,0.0
TEC6GJB7UI,2025-05-12 17:08:00.010,,Completed,900.0,,900.0
TEC7GIFU2L,2025-05-12 17:03:00.029,,Completed,1200.0,,1200.0
TEC1GIG5AL,2025-05-12 17:03:00.029,,Completed,,-1200.0,0.0
TEC5FT5KVZ,2025-05-12 14:24:59.962,,Completed,,-30.0,0.0
TEC5FT5KVZ,2025-05-12 14:24:59.962,,Completed,30.0,,30.0
TEC4EZX3ZY,2025-05-12 11:15:00.000,,Completed,,-45.0,0.0
TEC4EZX3ZY,2025-05-12 11:15:00.000,,Completed,45.0,,45.0
TEC2EQCBG8,2025-05-12 10:11:00.038,,Completed,,-7.0,0.0
TEC2EQCBG8,2025-05-12 10:11:00.038,,Completed,,-110.0,7.0
TEC2EQCBG8,2025-05-12 10:11:00.038,,Completed,117.0,,117.0
TEC3EPY3O3,2025-05-12 10:07:59.981,,Completed,,-80.0,0.0
TEC3EPY3O3,2025-05-12 10:07:59.981,,Completed,80.0,,80.0
TEC4EPMV84,2025-05-12 10:05:59.971,,Completed,,-200.0,0.0
TEC7EPN73F,2025-05-12 10:05:59.971,,Completed,200.0,,200.0
TEC2EL7M6M,2025-05-12 09:36:00.000,,Completed,,-20.0,0.0
TEC2EL7M6M,2025-05-12 09:36:00.000,,Completed,,-2500.0,20.0
TEC2EL7M6M,2025-05-12 09:36:00.000,,Completed,2520.0,,2520.0
TEC6EKAAMU,2025-05-12 09:29:00.010,,Completed,2600.0,,2600.0
TEC0EKA9XE,2025-05-12 09:29:00.010,,Completed,,-2600.0,0.0
TEC9EJ1R4T,2025-05-12 09:20:59.971,,Completed,,-5.0,0.0
TEC9EJ1R4T,2025-05-12 09:20:59.971,,Completed,,-300.0,5.0
TEC9EJ1R4T,2025-05-12 09:20:59.971,,Completed,305.0,,305.0
TEC8EITWL4,2025-05-12 09:18:59.962,,Completed,,-300.0,0.0
TEC5EIU37N,2025-05-12 09:18:59.962,,Completed,300.0,,300.0
TEC3EIFWRH,2025-05-12 00:00:00.000,,Completed,,-5.0,0.0
TEC3EIFWRH,2025-05-12 00:00:00.000,,Completed,,-500.0,5.0
TEC3EIFWRH,2025-05-12 00:00:00.000,Credit,Completed,505.0,,505.0
TEC4EI3F6I,2025-05-12 00:00:00.000,,Completed,,-20.0,0.0
TEC4EI3F6I,2025-05-12 00:00:00.000,,Completed,,-2500.0,20.0
TEC4EI3F6I,2025-05-12 00:00:00.000,Credit,Completed,2520.0,,2520.0
TEC5EHKLHB,2025-05-12 00:00:00.000,,Completed,,-3100.0,0.0
TEC9EHKNHD,2025-05-12 00:00:00.000,,Completed,3100.0,,3100.0
TEC0E434XW,2025-05-12 00:00:00.000,,Completed,,-31.0,0.0
TEC0E434XW,2025-05-12 00:00:00.000,Credit,Completed,31.0,,31.0
TEB6DGG056,2025-05-11 00:00:00.000,,Completed,,-30.0,0.0
TEB6DGG056,2025-05-11 00:00:00.000,Credit,Completed,30.0,,30.0
TEB0D6DBJI,2025-05-11 00:00:00.000,,Completed,,-170.0,0.0
TEB0D6DBJI,2025-05-11 00:00:00.000,Credit,Completed,170.0,,170.0
TEB8D68DAS,2025-05-11 00:00:00.000,,Completed,,-200.0,0.0
TEB7D68BQX,2025-05-11 00:00:00.000,,Completed,200.0,,200.0
TEB6CCDV0S,2025-05-11 00:00:00.000,,Completed,,-20.0,0.0
TEB6CCDV0S,2025-05-11 00:00:00.000,Credit,Completed,20.0,,20.0
TEB7BH8VVT,2025-05-11 00:00:00.000,,Completed,,-7.0,0.0
